dist;freq1;freq2;dist_moy;mot_FR;mot_EN;bon ?;pourcentage
0,271973124;11;8;0,02862875; choses ; millions ;;0,299270073
0,158046559;6;5;0,028735738; auras ; rest ;0;0,298181818
0,258699475;10;8;0,028744386; parce ; leave ;0;0,297101449
0,144609617;5;5;0,028921923; existe ; big ;0;0,296028881
0,405183082;12;16;0,028941649; dire ; even ;0;0,294964029
0,202770262;7;7;0,02896718; idée ; idea ;0;0,29390681
0,219374604;7;8;0,029249947; voir ; questions ;0;0,292857143
0,396825927;13;14;0,029394513; doucement ; without ;0;0,291814947
0,632010729;20;23;0,029395848; dessin ; grown ;0;0,290780142
0,25139161;9;8;0,029575484; roses ; 000 ;0;0,28975265
0,254260323;9;8;0,029912979; soif ; 000 ;0;0,288732394
0,239357103;7;9;0,029919638; vent ; found ;0;0,287719298
0,194496478;6;7;0,029922535; tête ; judge ;0;0,286713287
0,179883954;6;6;0,029980659; faute ; fault ;1;0,289198606
0,390631517;15;11;0,030048578; ni ; something ;0;0,288194444
0,165386901;5;6;0,030070346; donner ; ago ;0;0,287197232
0,482263627;19;13;0,030141477; ta ; same ;0;0,286206897
0,211451005;8;6;0,030207286; va ; means ;0;0,285223368
0,242393405;9;7;0,030299176; connaître ; judge ;0;0,284246575
0,212358737;8;6;0,030336962; important ; along ;0;0,283276451
0,182480801;5;7;0,030413467; seras ; general ;0;0,282312925
0,25915876;10;7;0,030489266; eu ; children ;0;0,281355932
0,213966328;7;7;0,030566618; amis ; friends ;1;0,283783784
0,217265863;7;7;0,03103798; ayant ; having ;0;0,282828283
0,217811252;8;6;0,031115893; place ; ought ;0;0,281879195
0,236203971;8;7;0,031493863; habitée ; until ;0;0,280936455
0,410115825;13;13;0,031547371; temps ; orders ;0;0,28
0,363208454;12;11;0,031583344; êtes ; sunset ;0;0,279069767
0,158944244;5;5;0,031788849; utile ; concerned ;1;0,281456954
0,397854936;12;13;0,031828395; aux ; able ;0;0,280528053
0,176498428;5;6;0,032090623; petites ; gone ;0;0,279605263
0,193004018;7;5;0,032167336; heure ; gentleman ;0;0,278688525
0,225199208;7;7;0,032171315; coup ; until ;0;0,277777778
0,386121453;14;10;0,032176788; loin ; nobody ;0;0,276872964
0,193306288;5;7;0,032217715; danger ; death ;0;0,275974026
0,341173537;11;10;0,032492718; eau ; answer ;0;0,275080906
0,196339932;5;7;0,032723322; cela ; judge ;0;0,274193548
0,196514629;6;6;0,032752438; fis ; gave ;0;0,273311897
0,213174087;6;7;0,032796013; avion ; inside ;0;0,272435897
0,34477142;12;9;0,032835373; car ; continued ;0;0,271565495
0,312721145;9;10;0,032918015; soir ; answer ;0;0,270700637
0,181831287;6;5;0,033060234; mal ; reply ;0;0,26984127
0,165619465;5;5;0,033123893; eut ; light ;0;0,268987342
0,348135194;9;12;0,033155733; vieux ; every ;0;0,268138801
0,316038945;10;9;0,033267257; triste ; sad ;1;0,270440252
0,183178701;5;6;0,033305218; enfant ; gave ;0;0,269592476
0,18439217;5;6;0,033525849; tes ; unique ;0;0,26875
0,201551251;5;7;0,033591875; joli ; idea ;0;0,267912773
0,236728344;6;8;0,033818335; savoir ; head ;0;0,267080745
0,1860686;5;6;0,033830654; beau ; somewhere ;0;0,26625387
0,237021716;7;7;0,033860245; serait ; having ;0;0,265432099
0,374554732;13;9;0,03405043; quelque ; certainly ;0;0,264615385
